"region","year","input_group","total_adjusted_value"
"CH",2060,"gas",0.00482032384794805
"CH",2060,"refined liquids",0.0087922618693505
"CH",2065,"H2 enduse",0.015967466486
"CH",2065,"biomass",3.8422181056e-05
"CH",2065,"coal",0.002522141155201
"CH",2065,"electricity",0.04852414113454
"CH",2065,"gas",0.00295295804074705
"CH",2065,"refined liquids",0.0013506265829015
"CH",2070,"H2 enduse",0.01748775438
"CH",2070,"biomass",1.13235e-06
"CH",2070,"coal",7.43531e-05
"CH",2070,"electricity",0.05424974941278
"CH",2070,"gas",0.00151936988132505
"CH",2070,"refined liquids",0.0009810307373085
"DL",2020,"H2 enduse",0.001426235363
"DL",2020,"biomass",0
"DL",2020,"coal",0
"DL",2020,"electricity",0.0805930402930403
"DL",2020,"gas",0.0540040268456376
"DL",2020,"refined liquids",0.191298781808973
"DL",2025,"H2 enduse",0.00337672937
"DL",2025,"biomass",3.6946725e-05
"DL",2025,"coal",0.002682986561
"DL",2025,"electricity",0.1425721664202
"DL",2025,"gas",0.0660437642597376
"DL",2025,"refined liquids",0.288177604098073
"DL",2030,"H2 enduse",0.00564207864
"DL",2030,"biomass",4.7842432e-05
"DL",2030,"coal",0.001213041646
"DL",2030,"electricity",0.181232992661429
"DL",2030,"gas",0.103575839680938
"DL",2030,"refined liquids",0.359950329586273
"DL",2035,"H2 enduse",0.00855113291
"DL",2035,"biomass",6.006346e-05
"DL",2035,"coal",0.001805250905
"DL",2035,"electricity",0.235166300571311
"DL",2035,"gas",0.141663435450038
"DL",2035,"refined liquids",0.439358339751763
"DL",2040,"H2 enduse",0.01210666843
"DL",2040,"biomass",7.3071791e-05
"DL",2040,"coal",0.002449325657
"DL",2040,"electricity",0.294416433310625
"DL",2040,"gas",0.204618306594866
"DL",2040,"refined liquids",0.500705580557533
"DL",2045,"H2 enduse",0.01612819857
"DL",2045,"biomass",8.944951e-05
"DL",2045,"coal",0.003092639481
"DL",2045,"electricity",0.36065502465827
"DL",2045,"gas",0.258349842539238
"DL",2045,"refined liquids",0.513015783262573
"DL",2050,"H2 enduse",0.02092603648
"DL",2050,"biomass",9.9019083e-05
"DL",2050,"coal",0.003758492321
"DL",2050,"electricity",0.4525610045419
"DL",2050,"gas",0.249531140489238
"DL",2050,"refined liquids",0.520903132950773
"DL",2055,"H2 enduse",0.02862051608
"DL",2055,"biomass",7.07625173e-05
"DL",2055,"coal",0.004457542411353
"DL",2055,"electricity",0.64215088976602
"DL",2055,"gas",0.157012833033324
"DL",2055,"refined liquids",0.0794204565938918
"DL",2060,"H2 enduse",0.04945169986
"DL",2060,"biomass",6.614293875e-05
"DL",2060,"coal",0.00429184767583
"DL",2060,"electricity",0.82695908922672
"DL",2060,"gas",0.0609987504358376
"DL",2060,"refined liquids",0.0600533489165235
"DL",2065,"H2 enduse",0.0774352143
"DL",2065,"biomass",5.3162721346e-05
"DL",2065,"coal",0.003489749198496
"DL",2065,"electricity",0.99836412481482
"DL",2065,"gas",0.03282866630255
"DL",2065,"refined liquids",0.0112732281944037
"DL",2070,"H2 enduse",0.0847281031
"DL",2070,"biomass",1.57302e-06
"DL",2070,"coal",0.000103289
"DL",2070,"electricity",1.12854111023081
"DL",2070,"gas",0.015663485786224
"DL",2070,"refined liquids",0.00681329324204499
"GA",2020,"H2 enduse",0.0059259823906
"GA",2020,"biomass",0
"GA",2020,"coal",0
"GA",2020,"electricity",0.009
"GA",2020,"gas",0
"GA",2020,"refined liquids",0.0326674425464515
"GA",2025,"H2 enduse",0.003367977957
"GA",2025,"biomass",0.002314958601
"GA",2025,"coal",0.0040054427419
"GA",2025,"electricity",0.005069869340895
"GA",2025,"gas",0.001168621743
"GA",2025,"refined liquids",0.0606333642091515
"GA",2030,"H2 enduse",0.005154899893
"GA",2030,"biomass",0.002647893142
"GA",2030,"coal",0.0054170297909
"GA",2030,"electricity",0.005935202525782
"GA",2030,"gas",0.003362822115
"GA",2030,"refined liquids",0.0693296075158115
"GA",2035,"H2 enduse",0.007302763101
"GA",2035,"biomass",0.002990888304
"GA",2035,"coal",0.0070263243529
"GA",2035,"electricity",0.008266016928817
"GA",2035,"gas",0.0066996017936
"GA",2035,"refined liquids",0.0745069607245715
"GA",2040,"H2 enduse",0.009607541411
"GA",2040,"biomass",0.003271316025
"GA",2040,"coal",0.0083819456599
"GA",2040,"electricity",0.010962071868461
"GA",2040,"gas",0.0127276825786
"GA",2040,"refined liquids",0.0777411096779215
"GA",2045,"H2 enduse",0.012169726808
"GA",2045,"biomass",0.003553022399
"GA",2045,"coal",0.0097253239499
"GA",2045,"electricity",0.014217350436561
"GA",2045,"gas",0.0178348578424
"GA",2045,"refined liquids",0.0786977020982915
"GA",2050,"H2 enduse",0.014909267745
"GA",2050,"biomass",0.003780497183
"GA",2050,"coal",0.0108955726919
"GA",2050,"electricity",0.026264069417161
"GA",2050,"gas",0.0149516172093
"GA",2050,"refined liquids",0.0778556078279215
"GA",2055,"H2 enduse",0.02403742014
"GA",2055,"biomass",0.0031455403094
"GA",2055,"coal",0.010627993604
"GA",2055,"electricity",0.051370869015261
"GA",2055,"gas",0.009844244829035
"GA",2055,"refined liquids",0.059239189139981
"GA",2060,"H2 enduse",0.04889271868
"GA",2060,"biomass",0.00140329969424
"GA",2060,"coal",0.0030445241928
"GA",2060,"electricity",0.070115470028761
"GA",2060,"gas",0.003947878232384
"GA",2060,"refined liquids",0.035978864792326
"GA",2065,"H2 enduse",0.08304196871
"GA",2065,"biomass",2.3960324087e-05
"GA",2065,"coal",0.001549110678783
"GA",2065,"electricity",0.085626723259761
"GA",2065,"gas",0.00126037039103
"GA",2065,"refined liquids",0.00296047791656357
"GA",2070,"H2 enduse",0.0879149405
"GA",2070,"biomass",6.70127e-07
"GA",2070,"coal",4.41647e-05
"GA",2070,"electricity",0.088346731462379
"GA",2070,"gas",0.000259619123527
"GA",2070,"refined liquids",0.00268810411186409
"GJ",2020,"H2 enduse",0.01332887065
"GJ",2020,"biomass",0.46977471685567
